dataset_name,average_clustering,node_connectivity,large_clique_size,number_connected_components,degree_assortativity_coefficient,md1_mean,md2_var,md3_std,md4_skew,md5_kurtosis,md6_d_percentage_0.0_0.05,md6_d_percentage_0.05_0.1,md6_d_percentage_0.1_0.15,md6_d_percentage_0.15_0.2,md6_d_percentage_0.2_0.25,md6_d_percentage_0.25_0.3,md6_d_percentage_0.3_0.35,md6_d_percentage_0.35_0.4,md6_d_percentage_0.4_0.45,md6_d_percentage_0.45_0.5,md6_d_percentage_0.5_0.55,md6_d_percentage_0.55_0.6,md6_d_percentage_0.6_0.65,md6_d_percentage_0.65_0.7,md6_d_percentage_0.7_0.75,md6_d_percentage_0.75_0.8,md6_d_percentage_0.8_0.85,md6_d_percentage_0.85_0.9,md6_d_percentage_0.9_0.95,md6_d_percentage_0.95_1.0,md7_z_score_-3_-2,md7_z_score_-2_-1,md7_z_score_-1_0,md7_z_score_0_1,md7_z_score_1_2,md7_z_score_2_3,true_n_clusters,algo,rand,silhouette,CH,DB,ideal_inner_metric,avg_lifetime_hom_dim_0,num_relevant_holes_hom_dim_0,length_Betti_hom_dim_0,sum_length_hom_dim_0,average_length_hom_dim_0,polynomial_feature_2_hom_dim_0,polynomial_feature_4_hom_dim_0,avg_lifetime_hom_dim_1,num_relevant_holes_hom_dim_1,length_Betti_hom_dim_1,sum_length_hom_dim_1,average_length_hom_dim_1,onset_longest_Betti_hom_dim_1,polynomial_feature_1_hom_dim_1,polynomial_feature_2_hom_dim_1,polynomial_feature_3_hom_dim_1,polynomial_feature_4_hom_dim_1,avg_lifetime_hom_dim_2,num_relevant_holes_hom_dim_2,length_Betti_hom_dim_2,sum_length_hom_dim_2,average_length_hom_dim_2,onset_longest_Betti_hom_dim_2,polynomial_feature_1_hom_dim_2,polynomial_feature_2_hom_dim_2,polynomial_feature_3_hom_dim_2,polynomial_feature_4_hom_dim_2,amplitude_feature
labor,0.4272727272727273,0,4,2,0.4014962593516212,15.354622215319049,158.8039730545014,12.601744841667816,1.2225824913943275,-0.0516386351899922,0.0175438596491228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006155740227762,0.0,0.0,0.0,0.0,0.0,0.0,0.0212373037857802,0.6814404432132964,0.0978762696214219,0.1280393967374576,0.0714065866420437,2,1,0.5375939849624061,-0.5950821201943158,-0.4410291144075814,-0.302577130828647,1,5.607738755643368,2,17.804492950439453,314.0333703160286,5.607738755643368,103.70428699296436,727616.415265815,0.4361808867681594,3,0.9475312232971193,314.0333703160286,0.4361808867681594,5.700877189636231,2.394307609028742,0.4990507475108751,11.015997410424124,0.2310631982462438,0.1393368244171142,2,0.1727776527404785,314.0333703160286,0.1393368244171142,7.2138752937316895,0.9523554869239774,0.0624751344551555,0.0974493722610959,0.0003069754693401,25.96680685475845
breast-cancer,0.4703703703703704,0,4,5,0.1801516351703068,4.7275207255537,3.179400056074728,1.7830872261543258,0.3390855344477356,-0.0756137545764445,0.004009976037948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074820284610494,0.1536260941855347,0.3594063279377965,0.314954276492738,0.1341385886840432,0.0266761210817154,2,1,0.5925653294074347,0.9777881040471746,-0.2256861850279112,0.8114999609754547,2,1.4173371868313482,17,3.0,375.5943545103073,1.4173371868313482,3.4580280166978565,28.95099459887945,0.3301347575404427,13,0.7639319896697998,375.5943545103073,0.3301347575404427,1.4142135381698608,0.6174212986507456,0.3974052642489356,0.131668203605186,0.0386963260191181,0.2250861490474027,5,0.3178372383117676,375.5943545103073,0.2250861490474027,3.464101552963257,0.5315026326585615,0.2856103894039647,0.0297082112069366,0.0076115164186087,12.229705201394452
breast-w,0.43,0,4,3,0.3874408792405321,9.965355437559076,41.67955635746021,6.455970597629779,0.2081641461796041,-1.2112098657181645,0.0077711670667886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2480776748307924,0.2407772395062638,0.3128892491010047,0.1825702362459348,0.0156856003160042,2,0,0.9309287520854598,0.9209144403657676,0.96090029722926,0.9989307731419668,1,3.0366532167831024,67,9.05538558959961,1402.933786153793,3.0366532167831024,15.57164673004139,4497.739483053723,0.4648515717863576,47,1.364029884338379,1402.933786153793,0.4648515717863576,4.690415859222412,2.093021907151147,2.816759423648296,7.870977245888402,6.153832215342435,0.2390360644885472,8,0.7079944610595703,1402.933786153793,0.2390360644885472,7.874007701873779,1.6369788038403976,0.6219022755696845,1.2131069472350695,0.0826825523033657,37.91318223649813
colic,0.455884995507637,0,4,4,0.2827487958754492,67.96060872762052,869.9012182888024,29.49408785314105,0.3576516910968783,0.4274343430257978,0.0028798440453686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055529300567107,0.1565749054820416,0.3446804111531191,0.3488008034026465,0.1137907608695652,0.0243531427221172,2,2,0.5299727520435967,0.9545390575581296,-0.1572850166347275,-0.909361999655471,2,13.902871370985268,23,49.16838455200195,4949.422208070755,13.902871370985268,487.1933088463409,93068552.08997372,1.9843536455919788,5,12.284751892089844,4949.422208070755,1.9843536455919788,42.02249526977539,62.58668645234043,64.91375626819138,1529733.1961344015,372028.2233020684,0.7830613984002007,4,2.9145431518554688,4949.422208070755,0.7830613984002007,65.10713958740234,35.827124612962635,16.61992443312195,33505.61905542608,2818.684472900754,154.8535971301281
credit-approval,0.1785714285714285,0,4,3,0.5986622073578585,1928.4109302055915,50553820.45683345,7110.120987496166,9.601114851485908,112.12280946579104,0.0014492753623188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.200798151648813e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181936567947911,0.1435244696492333,0.0212938458307078,0.0027641251837849,2,1,0.5165688563555668,-0.9979804839457443,0.993279191139284,-0.6431897927126939,0,171.92680810757403,1,18718.388671875,118457.57078611852,171.92680810757403,4252077.933068118,1.7731106380486056e+23,6.592182068448317,4,68.70648193359375,118457.57078611852,6.592182068448317,98.37789916992188,685.2793326676859,2076.4142064897574,15935789428.242338,33829891001.48967,0.4562206268310547,1,0.3378753662109375,118457.57078611852,0.4562206268310547,49.56940841674805,18.09838371601945,4.691219408878169,3880.137912785707,4.159459988287671,26753.183460567016
diabetes,0.4571428571428572,0,4,2,0.4882154882154876,134.20150947407623,12239.46766302324,110.63212762585395,2.335710449602187,7.468866582822885,0.0013020833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0237155490451388,0.6230129665798612,0.2397935655381944,0.0650872124565972,0.0204874674479166,2,0,0.5612267764015645,0.990330560052753,-0.9791634755448252,0.6406192053746302,2,15.521434058111058,5,99.09605407714844,11904.939922571182,15.521434058111058,1348.5716283188697,1197860771.2644207,2.079451861588851,9,9.217601776123049,11904.939922571182,2.079451861588851,31.467512130737305,43.3703610565173,73.10076159959371,151226.26233616416,178189.23463622967,0.9056805236430108,9,4.023834228515625,11904.939922571182,0.9056805236430108,29.669750213623047,26.699971623611003,32.22930029604147,24419.17987802859,19675.04189226274,252.10257016801668
haberman,0.5014814814814815,1,4,1,0.3144058885383808,16.36543040187252,88.9316479904384,9.430357786979156,0.933639316276918,1.057918778152077,0.0037805972062027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1457345465419283,0.4195394933572557,0.2802768166089965,0.1151266606860609,0.0275107864496561,2,2,0.612557591342548,1.0,1.0,1.0,2,2.222561082518693,4,13.076696395874023,626.7622252702713,2.222561082518693,26.358925043001783,13020.796993064198,0.7038184655340094,14,2.677093029022217,626.7622252702713,0.7038184655340094,5.196152210235596,3.256073621891536,13.998446723256343,183.0071677841438,1065.753514030558,0.3706613320570726,2,0.802588939666748,626.7622252702713,0.3706613320570726,4.582575798034668,1.709402740616602,1.051090450979429,7.433131343881518,1.912332775556221,24.113801079057044
heart-statlog,0.487202380952381,1,4,1,0.1826934885663044,73.41374884976332,1821.498287779977,42.67901460647817,2.169933008985679,9.310683225928146,0.0037037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0961865569272976,0.4921536351165981,0.2919615912208504,0.0838957475994513,0.0217283950617283,2,1,0.5153517830097756,0.8437579677334707,0.7302699321445607,0.9961419143839644,1,15.039672429676836,1,42.81401824951172,4045.671883583069,15.039672429676836,1916.9657054102763,1723212606.415528,2.1489925235509872,11,7.694601058959961,4045.671883583069,2.1489925235509872,21.954498291015625,44.120156965721215,59.01260046623131,101214.9662501933,125051.8347126518,1.0209672927856446,5,2.538724899291992,4045.671883583069,1.0209672927856446,32.95284652709961,27.7177339589712,20.5691034565168,9693.180002911551,3989.308632400516,149.23821168149456
vote,0.3988571428571428,0,4,9,0.5769067141089104,3.1250569748733152,0.8185188377367179,0.904720309121398,0.0080604523184882,0.9173784257163272,0.0045501387237415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118483287092086,0.119149161051658,0.3194926674593737,0.4224283260668516,0.1036015325670498,0.0109287884793235,2,2,0.791302505429313,-0.1645314573843268,0.9964195122334016,-0.988658894571519,0,1.419194031670646,26,3.464101552963257,483.9451647996903,1.419194031670646,3.4392395007957064,28.934050283399348,0.3282262978730378,60,0.5040172338485718,483.9451647996903,0.3282262978730378,1.4142135381698608,0.4679593574952469,0.8086536728836785,0.0278942970295223,0.1195723764982847,0.2241496875368315,29,0.2679492235183716,483.9451647996903,0.2241496875368315,1.4142135381698608,0.4744319490504581,0.1084229748456252,0.0114141935890418,0.0012579551408731,13.965438701948166
ionosphere,0.4747308885239919,0,4,4,0.5036702345440727,3.980507467703769,2.634779786438008,1.623200476354664,-0.2189932112187043,-0.5780159959343876,0.0028652364834701,1.62336344672527e-05,4.87009034017581e-05,0.0001623363446725,0.000519476302952,0.0007954480888953,0.0009253171646334,0.0008441489922971,0.0011525880471749,0.0018993352326685,0.0017856997913977,0.0024188115356206,0.0025811478802931,0.0028733533007037,0.003214259624516,0.0038149040998043,0.0034902314104593,0.0037662031964026,0.0039447731755424,0.0044317822095599,0.0210306734523258,0.1695116111070527,0.2691374258325825,0.3793313365962938,0.150453324242498,0.0104057596935089,2,0,0.6558730158730158,0.9627685068184644,-0.980303282095419,-0.6108458720423245,2,1.4431367781237407,60,5.2007365226745605,503.6547355651856,1.4431367781237407,3.829040983363815,101.76580687335658,0.0862405268209321,3,0.4860959053039551,503.6547355651856,0.0862405268209321,1.1513381004333496,0.1235846009479788,0.2691313223921115,0.006451583442717,0.0414645423954475,0.0183897256851196,2,0.0298478603363037,503.6547355651856,0.0183897256851196,0.8694026470184326,0.0197282144143756,0.0080924255356876,7.241071595869439e-07,1.9056023115132135e-07,18.23241044649426
